dataset_name,nl,n,clf,svm_gamma,reg,acc_mean,acc_std
moons,0.1,10000,svm,1.0,1.0,0.9994,0.0005
moons,0.1,10000,svm,10.0,1.0,0.9998,0.0004
moons,0.1,10000,svm,100.0,1.0,0.9994,0.0007
moons,0.1,10000,svm,1000.0,1.0,0.9983,0.0010
moons,0.1,10000,svm,10000.0,1.0,0.9788,0.0067
moons,0.1,10000,svm,100000.0,1.0,0.7411,0.0256
moons,0.1,10000,svm,1000000.0,1.0,0.5250,0.0150
moons,0.2,10,log_reg,,0.01,0.9000,0.3000
moons,0.2,10,log_reg,,0.1,0.9000,0.3000
moons,0.2,10,log_reg,,1.0,0.9000,0.3000
moons,0.2,10,log_reg,,10.0,0.9000,0.3000
moons,0.2,10,log_reg,,100.0,0.9000,0.3000
moons,0.2,10,svm,0.001,1.0,0.6000,0.4899
moons,0.2,10,svm,0.01,1.0,0.6000,0.4899
moons,0.2,10,svm,0.1,1.0,0.6000,0.4899
moons,0.2,10,svm,1.0,1.0,0.8000,0.4000
moons,0.2,10,svm,10.0,1.0,0.7000,0.4583
moons,0.2,10,svm,100.0,1.0,0.6000,0.4899
moons,0.2,10,svm,1000.0,1.0,0.6000,0.4899
moons,0.2,10,svm,10000.0,1.0,0.6000,0.4899
moons,0.2,10,svm,100000.0,1.0,0.6000,0.4899
moons,0.2,10,svm,1000000.0,1.0,0.6000,0.4899
moons,0.2,50,log_reg,,0.01,0.8600,0.0917
moons,0.2,50,log_reg,,0.1,0.8600,0.0917
moons,0.2,50,log_reg,,1.0,0.8600,0.0917
moons,0.2,50,log_reg,,10.0,0.8600,0.0917
moons,0.2,50,log_reg,,100.0,0.8600,0.0917
moons,0.2,50,svm,0.001,1.0,0.6000,0.2000
moons,0.2,50,svm,0.01,1.0,0.6400,0.2332
moons,0.2,50,svm,0.1,1.0,0.8400,0.1200
moons,0.2,50,svm,1.0,1.0,0.9400,0.0917
moons,0.2,50,svm,10.0,1.0,0.9400,0.0917
moons,0.2,50,svm,100.0,1.0,0.7600,0.1497
moons,0.2,50,svm,1000.0,1.0,0.6000,0.2000
moons,0.2,50,svm,10000.0,1.0,0.6000,0.2000
moons,0.2,50,svm,100000.0,1.0,0.6000,0.2000
moons,0.2,50,svm,1000000.0,1.0,0.6000,0.2000
moons,0.2,100,log_reg,,0.01,0.8800,0.0600
moons,0.2,100,log_reg,,0.1,0.8800,0.0600
moons,0.2,100,log_reg,,1.0,0.8800,0.0600
moons,0.2,100,log_reg,,10.0,0.8800,0.0600
moons,0.2,100,log_reg,,100.0,0.8800,0.0600
moons,0.2,100,svm,0.001,1.0,0.5900,0.1375
moons,0.2,100,svm,0.01,1.0,0.8400,0.0917
moons,0.2,100,svm,0.1,1.0,0.8800,0.0600
moons,0.2,100,svm,1.0,1.0,0.9300,0.0900
moons,0.2,100,svm,10.0,1.0,0.9800,0.0400
moons,0.2,100,svm,100.0,1.0,0.8500,0.1118
moons,0.2,100,svm,1000.0,1.0,0.6300,0.1552
moons,0.2,100,svm,10000.0,1.0,0.5900,0.1375
moons,0.2,100,svm,100000.0,1.0,0.5900,0.1375
moons,0.2,100,svm,1000000.0,1.0,0.5900,0.1375
moons,0.2,1000,log_reg,,0.01,0.8760,0.0344
moons,0.2,1000,log_reg,,0.1,0.8760,0.0344
moons,0.2,1000,log_reg,,1.0,0.8760,0.0344
moons,0.2,1000,log_reg,,10.0,0.8760,0.0344
moons,0.2,1000,log_reg,,100.0,0.8760,0.0344
moons,0.2,1000,svm,0.001,1.0,0.8230,0.0293
moons,0.2,1000,svm,0.01,1.0,0.8660,0.0294
moons,0.2,1000,svm,0.1,1.0,0.8850,0.0291
moons,0.2,1000,svm,1.0,1.0,0.9730,0.0110
moons,0.2,1000,svm,10.0,1.0,0.9780,0.0087
moons,0.2,1000,svm,100.0,1.0,0.9720,0.0133
moons,0.2,1000,svm,1000.0,1.0,0.9170,0.0276
moons,0.2,1000,svm,10000.0,1.0,0.5660,0.0408
moons,0.2,1000,svm,100000.0,1.0,0.4890,0.0545
moons,0.2,1000,svm,1000000.0,1.0,0.4590,0.0394
moons,0.2,10000,log_reg,,0.01,0.8709,0.0085
moons,0.2,10000,log_reg,,0.1,0.8709,0.0085
moons,0.2,10000,log_reg,,1.0,0.8709,0.0085
moons,0.2,10000,log_reg,,10.0,0.8709,0.0085
moons,0.2,10000,log_reg,,100.0,0.8709,0.0085
moons,0.2,10000,svm,0.001,1.0,0.8544,0.0101
moons,0.2,10000,svm,0.01,1.0,0.8703,0.0092
moons,0.2,10000,svm,0.1,1.0,0.9256,0.0065
moons,0.2,10000,svm,1.0,1.0,0.9679,0.0043
moons,0.2,10000,svm,10.0,1.0,0.9679,0.0053
moons,0.2,10000,svm,100.0,1.0,0.9674,0.0040
moons,0.2,10000,svm,1000.0,1.0,0.9616,0.0034
moons,0.2,10000,svm,10000.0,1.0,0.9214,0.0117
moons,0.2,10000,svm,100000.0,1.0,0.6284,0.0195
moons,0.2,10000,svm,1000000.0,1.0,0.5059,0.0081
moons,0.3,10,log_reg,,0.01,0.9000,0.3000
moons,0.3,10,log_reg,,0.1,0.9000,0.3000
moons,0.3,10,log_reg,,1.0,0.9000,0.3000
moons,0.3,10,log_reg,,10.0,0.9000,0.3000
moons,0.3,10,log_reg,,100.0,0.9000,0.3000
moons,0.3,10,svm,0.001,1.0,0.0000,0.0000
moons,0.3,10,svm,0.01,1.0,0.0000,0.0000
moons,0.3,10,svm,0.1,1.0,0.9000,0.3000
moons,0.3,10,svm,1.0,1.0,0.9000,0.3000
moons,0.3,10,svm,10.0,1.0,0.4000,0.4899
moons,0.3,10,svm,100.0,1.0,0.0000,0.0000
moons,0.3,10,svm,1000.0,1.0,0.0000,0.0000
moons,0.3,10,svm,10000.0,1.0,0.0000,0.0000
moons,0.3,10,svm,100000.0,1.0,0.0000,0.0000
moons,0.3,10,svm,1000000.0,1.0,0.0000,0.0000
moons,0.3,50,log_reg,,0.01,0.9600,0.0800
moons,0.3,50,log_reg,,0.1,0.9600,0.0800
moons,0.3,50,log_reg,,1.0,0.9600,0.0800
moons,0.3,50,log_reg,,10.0,0.9600,0.0800
moons,0.3,50,log_reg,,100.0,0.9600,0.0800
moons,0.3,50,svm,0.001,1.0,0.5800,0.1887
moons,0.3,50,svm,0.01,1.0,0.8400,0.1497
moons,0.3,50,svm,0.1,1.0,0.9600,0.0800
moons,0.3,50,svm,1.0,1.0,0.9600,0.0800
moons,0.3,50,svm,10.0,1.0,0.9000,0.1342
moons,0.3,50,svm,100.0,1.0,0.6600,0.1800
moons,0.3,50,svm,1000.0,1.0,0.5800,0.1887
moons,0.3,50,svm,10000.0,1.0,0.5800,0.1887
moons,0.3,50,svm,100000.0,1.0,0.5800,0.1887
moons,0.3,50,svm,1000000.0,1.0,0.5800,0.1887
moons,0.3,100,log_reg,,0.01,0.9400,0.0490
moons,0.3,100,log_reg,,0.1,0.9400,0.0490
moons,0.3,100,log_reg,,1.0,0.9400,0.0490
moons,0.3,100,log_reg,,10.0,0.9400,0.0490
moons,0.3,100,log_reg,,100.0,0.9400,0.0490
moons,0.3,100,svm,0.001,1.0,0.5400,0.1685
moons,0.3,100,svm,0.01,1.0,0.9000,0.0632
moons,0.3,100,svm,0.1,1.0,0.9400,0.0490
moons,0.3,100,svm,1.0,1.0,0.9400,0.0490
moons,0.3,100,svm,10.0,1.0,0.9400,0.0490
moons,0.3,100,svm,100.0,1.0,0.7800,0.1536
moons,0.3,100,svm,1000.0,1.0,0.5000,0.1342
moons,0.3,100,svm,10000.0,1.0,0.4700,0.1487
moons,0.3,100,svm,100000.0,1.0,0.4700,0.1487
moons,0.3,100,svm,1000000.0,1.0,0.4700,0.1487
moons,0.3,1000,log_reg,,0.01,0.8490,0.0330
moons,0.3,1000,log_reg,,0.1,0.8490,0.0330
moons,0.3,1000,log_reg,,1.0,0.8490,0.0330
moons,0.3,1000,log_reg,,10.0,0.8490,0.0330
moons,0.3,1000,log_reg,,100.0,0.8490,0.0330
moons,0.3,1000,svm,0.001,1.0,0.7950,0.0450
moons,0.3,1000,svm,0.01,1.0,0.8380,0.0412
moons,0.3,1000,svm,0.1,1.0,0.8570,0.0300
moons,0.3,1000,svm,1.0,1.0,0.9060,0.0338
moons,0.3,1000,svm,10.0,1.0,0.9030,0.0300
moons,0.3,1000,svm,100.0,1.0,0.9060,0.0206
moons,0.3,1000,svm,1000.0,1.0,0.7890,0.0375
moons,0.3,1000,svm,10000.0,1.0,0.5680,0.0533
moons,0.3,1000,svm,100000.0,1.0,0.4980,0.0502
moons,0.3,1000,svm,1000000.0,1.0,0.4750,0.0486
moons,0.3,10000,log_reg,,0.01,0.8478,0.0094
moons,0.3,10000,log_reg,,0.1,0.8478,0.0094
moons,0.3,10000,log_reg,,1.0,0.8478,0.0094
moons,0.3,10000,log_reg,,10.0,0.8478,0.0094
moons,0.3,10000,log_reg,,100.0,0.8478,0.0094
moons,0.3,10000,svm,0.001,1.0,0.8379,0.0105
moons,0.3,10000,svm,0.01,1.0,0.8471,0.0095
moons,0.3,10000,svm,0.1,1.0,0.8860,0.0072
moons,0.3,10000,svm,1.0,1.0,0.9097,0.0053
moons,0.3,10000,svm,10.0,1.0,0.9098,0.0049
moons,0.3,10000,svm,100.0,1.0,0.9072,0.0053
moons,0.3,10000,svm,1000.0,1.0,0.8942,0.0084
moons,0.3,10000,svm,10000.0,1.0,0.8177,0.0209
moons,0.3,10000,svm,100000.0,1.0,0.5692,0.0289
moons,0.3,10000,svm,1000000.0,1.0,0.4912,0.0101
moons,0.4,10,log_reg,,0.01,0.9000,0.3000
moons,0.4,10,log_reg,,0.1,0.9000,0.3000
moons,0.4,10,log_reg,,1.0,0.9000,0.3000
moons,0.4,10,log_reg,,10.0,0.9000,0.3000
moons,0.4,10,log_reg,,100.0,0.9000,0.3000
moons,0.4,10,svm,0.001,1.0,0.7000,0.4583
moons,0.4,10,svm,0.01,1.0,0.7000,0.4583
moons,0.4,10,svm,0.1,1.0,0.7000,0.4583
moons,0.4,10,svm,1.0,1.0,0.9000,0.3000
moons,0.4,10,svm,10.0,1.0,0.6000,0.4899
moons,0.4,10,svm,100.0,1.0,0.7000,0.4583
moons,0.4,10,svm,1000.0,1.0,0.7000,0.4583
moons,0.4,10,svm,10000.0,1.0,0.7000,0.4583
moons,0.4,10,svm,100000.0,1.0,0.7000,0.4583
moons,0.4,10,svm,1000000.0,1.0,0.7000,0.4583
moons,0.4,50,log_reg,,0.01,0.8000,0.1549
moons,0.4,50,log_reg,,0.1,0.8000,0.1549
moons,0.4,50,log_reg,,1.0,0.8000,0.1549
moons,0.4,50,log_reg,,10.0,0.8000,0.1549
moons,0.4,50,log_reg,,100.0,0.8000,0.1549
moons,0.4,50,svm,0.001,1.0,0.3000,0.1000
moons,0.4,50,svm,0.01,1.0,0.4000,0.2000
moons,0.4,50,svm,0.1,1.0,0.8000,0.1549
moons,0.4,50,svm,1.0,1.0,0.7600,0.1497
moons,0.4,50,svm,10.0,1.0,0.6000,0.2366
moons,0.4,50,svm,100.0,1.0,0.5400,0.2010
moons,0.4,50,svm,1000.0,1.0,0.3000,0.1000
moons,0.4,50,svm,10000.0,1.0,0.3000,0.1000
moons,0.4,50,svm,100000.0,1.0,0.3000,0.1000
moons,0.4,50,svm,1000000.0,1.0,0.3000,0.1000
moons,0.4,100,log_reg,,0.01,0.8200,0.1166
moons,0.4,100,log_reg,,0.1,0.8200,0.1166
moons,0.4,100,log_reg,,1.0,0.8200,0.1166
moons,0.4,100,log_reg,,10.0,0.8200,0.1166
moons,0.4,100,log_reg,,100.0,0.8200,0.1166
moons,0.4,100,svm,0.001,1.0,0.3600,0.0663
moons,0.4,100,svm,0.01,1.0,0.8100,0.1640
moons,0.4,100,svm,0.1,1.0,0.8200,0.1166
moons,0.4,100,svm,1.0,1.0,0.8100,0.1221
moons,0.4,100,svm,10.0,1.0,0.7700,0.1616
moons,0.4,100,svm,100.0,1.0,0.6500,0.1025
moons,0.4,100,svm,1000.0,1.0,0.4100,0.0539
moons,0.4,100,svm,10000.0,1.0,0.3700,0.0781
moons,0.4,100,svm,100000.0,1.0,0.3600,0.0663
moons,0.4,100,svm,1000000.0,1.0,0.3600,0.0663
moons,0.4,1000,log_reg,,0.01,0.8360,0.0393
moons,0.4,1000,log_reg,,0.1,0.8360,0.0393
moons,0.4,1000,log_reg,,1.0,0.8360,0.0393
moons,0.4,1000,log_reg,,10.0,0.8360,0.0393
moons,0.4,1000,log_reg,,100.0,0.8360,0.0393
moons,0.4,1000,svm,0.001,1.0,0.7930,0.0408
moons,0.4,1000,svm,0.01,1.0,0.8250,0.0391
moons,0.4,1000,svm,0.1,1.0,0.8410,0.0430
moons,0.4,1000,svm,1.0,1.0,0.8420,0.0389
moons,0.4,1000,svm,10.0,1.0,0.8540,0.0418
moons,0.4,1000,svm,100.0,1.0,0.8190,0.0534
moons,0.4,1000,svm,1000.0,1.0,0.6740,0.0850
moons,0.4,1000,svm,10000.0,1.0,0.5310,0.0421
moons,0.4,1000,svm,100000.0,1.0,0.4880,0.0260
moons,0.4,1000,svm,1000000.0,1.0,0.4750,0.0238
moons,0.4,10000,log_reg,,0.01,0.8332,0.0164
moons,0.4,10000,log_reg,,0.1,0.8332,0.0164
moons,0.4,10000,log_reg,,1.0,0.8332,0.0164
moons,0.4,10000,log_reg,,10.0,0.8332,0.0164
moons,0.4,10000,log_reg,,100.0,0.8332,0.0164
moons,0.4,10000,svm,0.001,1.0,0.8298,0.0157
moons,0.4,10000,svm,0.01,1.0,0.8327,0.0158
moons,0.4,10000,svm,0.1,1.0,0.8537,0.0187
moons,0.4,10000,svm,1.0,1.0,0.8647,0.0180
moons,0.4,10000,svm,10.0,1.0,0.8635,0.0165
moons,0.4,10000,svm,100.0,1.0,0.8585,0.0181
moons,0.4,10000,svm,1000.0,1.0,0.8321,0.0185
moons,0.4,10000,svm,10000.0,1.0,0.7239,0.0231
moons,0.4,10000,svm,100000.0,1.0,0.5307,0.0194
moons,0.4,10000,svm,1000000.0,1.0,0.4927,0.0119
moons,0.5,10,log_reg,,0.01,0.5000,0.5000
moons,0.5,10,log_reg,,0.1,0.5000,0.5000
moons,0.5,10,log_reg,,1.0,0.5000,0.5000
moons,0.5,10,log_reg,,10.0,0.5000,0.5000
moons,0.5,10,log_reg,,100.0,0.5000,0.5000
moons,0.5,10,svm,0.001,1.0,0.6000,0.4899
moons,0.5,10,svm,0.01,1.0,0.6000,0.4899
moons,0.5,10,svm,0.1,1.0,0.4000,0.4899
moons,0.5,10,svm,1.0,1.0,0.4000,0.4899
moons,0.5,10,svm,10.0,1.0,0.4000,0.4899
moons,0.5,10,svm,100.0,1.0,0.6000,0.4899
moons,0.5,10,svm,1000.0,1.0,0.6000,0.4899
moons,0.5,10,svm,10000.0,1.0,0.6000,0.4899
moons,0.5,10,svm,100000.0,1.0,0.6000,0.4899
moons,0.5,10,svm,1000000.0,1.0,0.6000,0.4899
moons,0.5,50,log_reg,,0.01,0.7800,0.1400
moons,0.5,50,log_reg,,0.1,0.7800,0.1400
moons,0.5,50,log_reg,,1.0,0.7800,0.1400
moons,0.5,50,log_reg,,10.0,0.7800,0.1400
moons,0.5,50,log_reg,,100.0,0.7800,0.1400
moons,0.5,50,svm,0.001,1.0,0.5600,0.1744
moons,0.5,50,svm,0.01,1.0,0.5600,0.1960
moons,0.5,50,svm,0.1,1.0,0.7600,0.1744
moons,0.5,50,svm,1.0,1.0,0.7000,0.1844
moons,0.5,50,svm,10.0,1.0,0.6600,0.2200
moons,0.5,50,svm,100.0,1.0,0.5800,0.1661
moons,0.5,50,svm,1000.0,1.0,0.6000,0.2000
moons,0.5,50,svm,10000.0,1.0,0.5800,0.2088
moons,0.5,50,svm,100000.0,1.0,0.5600,0.1744
moons,0.5,50,svm,1000000.0,1.0,0.5600,0.1744
moons,0.5,100,log_reg,,0.01,0.7500,0.1204
moons,0.5,100,log_reg,,0.1,0.7500,0.1204
moons,0.5,100,log_reg,,1.0,0.7500,0.1204
moons,0.5,100,log_reg,,10.0,0.7500,0.1204
moons,0.5,100,log_reg,,100.0,0.7500,0.1204
moons,0.5,100,svm,0.001,1.0,0.5000,0.2098
moons,0.5,100,svm,0.01,1.0,0.7400,0.1281
moons,0.5,100,svm,0.1,1.0,0.7500,0.1360
moons,0.5,100,svm,1.0,1.0,0.7700,0.1418
moons,0.5,100,svm,10.0,1.0,0.7400,0.1114
moons,0.5,100,svm,100.0,1.0,0.4700,0.1005
moons,0.5,100,svm,1000.0,1.0,0.3500,0.1204
moons,0.5,100,svm,10000.0,1.0,0.3800,0.0980
moons,0.5,100,svm,100000.0,1.0,0.3800,0.0980
moons,0.5,100,svm,1000000.0,1.0,0.3800,0.0980
moons,0.5,1000,log_reg,,0.01,0.8090,0.0411
moons,0.5,1000,log_reg,,0.1,0.8090,0.0411
moons,0.5,1000,log_reg,,1.0,0.8090,0.0411
moons,0.5,1000,log_reg,,10.0,0.8090,0.0411
moons,0.5,1000,log_reg,,100.0,0.8090,0.0411
moons,0.5,1000,svm,0.001,1.0,0.7990,0.0404
moons,0.5,1000,svm,0.01,1.0,0.8110,0.0401
moons,0.5,1000,svm,0.1,1.0,0.8070,0.0420
moons,0.5,1000,svm,1.0,1.0,0.8170,0.0410
moons,0.5,1000,svm,10.0,1.0,0.8090,0.0396
moons,0.5,1000,svm,100.0,1.0,0.7740,0.0317
moons,0.5,1000,svm,1000.0,1.0,0.6240,0.0482
moons,0.5,1000,svm,10000.0,1.0,0.5210,0.0453
moons,0.5,1000,svm,100000.0,1.0,0.5140,0.0356
moons,0.5,1000,svm,1000000.0,1.0,0.5140,0.0372
moons,0.5,10000,log_reg,,0.01,0.8120,0.0076
moons,0.5,10000,log_reg,,0.1,0.8120,0.0076
moons,0.5,10000,log_reg,,1.0,0.8120,0.0076
moons,0.5,10000,log_reg,,10.0,0.8120,0.0076
moons,0.5,10000,log_reg,,100.0,0.8120,0.0076
moons,0.5,10000,svm,0.001,1.0,0.8108,0.0084
moons,0.5,10000,svm,0.01,1.0,0.8123,0.0079
moons,0.5,10000,svm,0.1,1.0,0.8246,0.0069
moons,0.5,10000,svm,1.0,1.0,0.8289,0.0063
moons,0.5,10000,svm,10.0,1.0,0.8288,0.0064
moons,0.5,10000,svm,100.0,1.0,0.8218,0.0067
moons,0.5,10000,svm,1000.0,1.0,0.7776,0.0065
moons,0.5,10000,svm,10000.0,1.0,0.6675,0.0146
moons,0.5,10000,svm,100000.0,1.0,0.5176,0.0075
moons,0.5,10000,svm,1000000.0,1.0,0.4892,0.0072
